LearnerID,Grade,SocioEconomicIndicator,LearningBarrier,Subject,Term,Mark,Attendance,TeacherNotes
CH-L2018004,4,Medium,False,Science,3,61,91.7,Completes all assigned work.
CH-L2018004,4,Medium,False,Life Skills,1,62,96.91,Completes all assigned work. Quiet but consistent.
CH-L2018004,4,Medium,False,Life Skills,2,62,94.51,Completes all assigned work.
CH-L2018004,4,Medium,False,Life Skills,3,64,84.5,Struggles with core concepts.
CH-L2018004,4,Medium,False,Afrikaans,1,61,96.04,Quiet but consistent.
CH-L2018004,4,Medium,False,Afrikaans,2,61,100.0,Steady progress. Often submits work late.
CH-L2018004,4,Medium,False,Afrikaans,3,61,98.43,Completes all assigned work.
CH-L2018005,5,Low,False,English,1,65,92.26,Quiet but consistent.
CH-L2018005,5,Low,False,English,2,73,91.85,Steady progress.
CH-L2018005,5,Low,False,English,3,68,93.59,Quiet but consistent.
CH-L2018005,5,Low,False,Maths,1,70,86.42,Quiet but consistent. Easily distracted.
CH-L2018005,5,Low,False,Maths,2,69,90.11,Quiet but consistent.
CH-L2018005,5,Low,False,Maths,3,68,91.63,Benefits from one-on-one attention. Struggles with core concepts.
CH-L2018005,5,Low,False,Science,1,71,85.5,Steady progress.
CH-L2018005,5,Low,False,Science,2,67,88.32,Quiet but consistent. Needs encouragement to participate.
CH-L2018005,5,Low,False,Science,3,71,91.11,Steady progress.
CH-L2018005,5,Low,False,Life Skills,1,74,93.41,Quiet but consistent.
CH-L2018005,5,Low,False,Life Skills,2,76,88.98,Benefits from one-on-one attention.
CH-L2018005,5,Low,False,Life Skills,3,74,91.29,Quiet but consistent. Quiet but consistent.
CH-L2018005,5,Low,False,Afrikaans,1,67,97.65,Benefits from one-on-one attention.
CH-L2018005,5,Low,False,Afrikaans,2,77,89.67,Completes all assigned work. Completes all assigned work.
CH-L2018005,5,Low,False,Afrikaans,3,78,94.18,Benefits from one-on-one attention.
CH-L2021006,7,Low,False,English,1,67,96.74,Quiet but consistent.
CH-L2021006,7,Low,False,English,2,67,100.0,Steady progress.
CH-L2021006,7,Low,False,English,3,71,87.47,Quiet but consistent. Often submits work late.
CH-L2021006,7,Low,False,Maths,1,68,86.54,Steady progress.
CH-L2021006,7,Low,False,Maths,2,72,87.82,Benefits from one-on-one attention. Needs encouragement to participate.
CH-L2021006,7,Low,False,Maths,3,69,91.47,Completes all assigned work.
CH-L2021006,7,Low,False,Science,1,63,93.72,Benefits from one-on-one attention.
CH-L2021006,7,Low,False,Science,2,68,99.74,Completes all assigned work.
CH-L2021006,7,Low,False,Science,3,56,94.41,Completes all assigned work.
CH-L2021006,7,Low,False,Life Skills,1,61,88.83,Benefits from one-on-one attention. Steady progress.
CH-L2021006,7,Low,False,Life Skills,2,67,88.66,Quiet but consistent.
CH-L2021006,7,Low,False,Life Skills,3,70,92.71,Steady progress. Attendance is a concern.
CH-L2021006,7,Low,False,Afrikaans,1,71,93.9,Completes all assigned work.
CH-L2021006,7,Low,False,Afrikaans,2,59,95.23,Quiet but consistent.
CH-L2021006,7,Low,False,Afrikaans,3,73,99.79,Benefits from one-on-one attention.
CH-L2020007,6,Low,False,English,1,72,89.28,Quiet but consistent.
CH-L2020007,6,Low,False,English,2,63,88.0,Steady progress. Easily distracted.
CH-L2020007,6,Low,False,English,3,72,87.64,Completes all assigned work.
CH-L2020007,6,Low,False,Maths,1,64,92.32,Completes all assigned work.
CH-L2020007,6,Low,False,Maths,2,62,93.57,Benefits from one-on-one attention.
CH-L2020007,6,Low,False,Maths,3,61,95.96,Steady progress.
CH-L2020007,6,Low,False,Science,1,57,86.73,Steady progress.
CH-L2020007,6,Low,False,Science,2,53,91.34,Completes all assigned work.
CH-L2020007,6,Low,False,Science,3,70,93.23,Quiet but consistent.
CH-L2020007,6,Low,False,Life Skills,1,65,98.06,Completes all assigned work. Needs encouragement to participate.
CH-L2020007,6,Low,False,Life Skills,2,66,97.28,Benefits from one-on-one attention.
CH-L2020007,6,Low,False,Life Skills,3,69,92.64,Benefits from one-on-one attention. Quiet but consistent.
CH-L2020007,6,Low,False,Afrikaans,1,64,79.39,Easily distracted. Easily distracted.
CH-L2020007,6,Low,False,Afrikaans,2,48,90.62,Attendance is a concern.
CH-L2020007,6,Low,False,Afrikaans,3,54,88.09,Steady progress.
CH-L2021008,4,Low,False,English,1,65,90.35,Steady progress.
CH-L2021008,4,Low,False,English,2,61,84.52,Easily distracted. Struggles with core concepts.
CH-L2021008,4,Low,False,English,3,53,97.93,Steady progress.
CH-L2021008,4,Low,False,Maths,1,49,96.81,Struggles with core concepts.
CH-L2021008,4,Low,False,Maths,2,56,87.75,Completes all assigned work.
CH-L2021008,4,Low,False,Maths,3,56,81.34,Needs encouragement to participate.
CH-L2021008,4,Low,False,Science,1,52,94.78,Completes all assigned work.
CH-L2021008,4,Low,False,Science,2,54,88.3,Benefits from one-on-one attention.
CH-L2021008,4,Low,False,Science,3,61,92.07,Quiet but consistent.
CH-L2021008,4,Low,False,Life Skills,1,57,98.81,Completes all assigned work. Struggles with core concepts.
CH-L2021008,4,Low,False,Life Skills,2,57,93.19,Quiet but consistent.
CH-L2021008,4,Low,False,Life Skills,3,63,85.93,Completes all assigned work.
CH-L2021008,4,Low,False,Afrikaans,1,58,84.2,Needs encouragement to participate.
CH-L2021008,4,Low,False,Afrikaans,2,65,93.72,Quiet but consistent.
CH-L2021008,4,Low,False,Afrikaans,3,62,92.19,Completes all assigned work.
CH-L2019009,6,Low,False,English,1,69,95.53,Steady progress.
CH-L2019009,6,Low,False,English,2,68,89.39,Completes all assigned work. Often submits work late.
CH-L2019009,6,Low,False,English,3,69,93.33,Benefits from one-on-one attention.
CH-L2019009,6,Low,False,Maths,1,73,92.51,Completes all assigned work. Completes all assigned work.
CH-L2019009,6,Low,False,Maths,2,72,90.54,Quiet but consistent. Quiet but consistent.
CH-L2019009,6,Low,False,Maths,3,71,88.61,Benefits from one-on-one attention. Quiet but consistent.
CH-L2019009,6,Low,False,Science,1,72,98.23,Completes all assigned work.
CH-L2019009,6,Low,False,Science,2,78,95.36,Benefits from one-on-one attention.
CH-L2019009,6,Low,False,Science,3,74,91.64,Benefits from one-on-one attention.
CH-L2019009,6,Low,False,Life Skills,1,70,95.11,Benefits from one-on-one attention.
CH-L2019009,6,Low,False,Life Skills,2,75,96.09,Quiet but consistent.
CH-L2019009,6,Low,False,Life Skills,3,72,89.21,Completes all assigned work.
CH-L2019009,6,Low,False,Afrikaans,1,69,97.33,Steady progress. Needs encouragement to participate.
CH-L2019009,6,Low,False,Afrikaans,2,76,95.52,Completes all assigned work.
CH-L2019009,6,Low,False,Afrikaans,3,71,83.54,Needs encouragement to participate.
CH-L2021010,4,Low,True,English,1,46,77.19,Attendance is a concern.
CH-L2021010,4,Low,True,English,2,44,89.36,Needs encouragement to participate.
CH-L2021010,4,Low,True,English,3,45,90.69,Attendance is a concern. Quiet but consistent.
CH-L2021010,4,Low,True,Maths,1,58,91.01,Steady progress. Struggles with core concepts.
CH-L2021010,4,Low,True,Maths,2,64,86.77,Steady progress. Needs encouragement to participate.
CH-L2021010,4,Low,True,Maths,3,66,84.09,Struggles with core concepts. Benefits from one-on-one attention.
CH-L2021010,4,Low,True,Science,1,44,82.76,Struggles with core concepts. Needs encouragement to participate.
CH-L2021010,4,Low,True,Science,2,43,97.12,Often submits work late. Needs encouragement to participate.
CH-L2021010,4,Low,True,Science,3,51,98.13,Completes all assigned work.
CH-L2021010,4,Low,True,Life Skills,1,50,88.25,Quiet but consistent.
CH-L2021010,4,Low,True,Life Skills,2,45,90.52,Often submits work late. Attendance is a concern.
CH-L2021010,4,Low,True,Life Skills,3,47,83.08,Struggles with core concepts.
CH-L2021010,4,Low,True,Afrikaans,1,58,78.42,Struggles with core concepts.
CH-L2021010,4,Low,True,Afrikaans,2,55,79.95,Needs encouragement to participate. Attendance is a concern.
CH-L2021010,4,Low,True,Afrikaans,3,54,88.36,Completes all assigned work. Needs encouragement to participate.
CH-L2020011,4,Low,False,English,1,63,87.36,Benefits from one-on-one attention.
CH-L2020011,4,Low,False,English,2,63,84.06,Attendance is a concern.
CH-L2020011,4,Low,False,English,3,58,89.35,Completes all assigned work. Benefits from one-on-one attention.
CH-L2020011,4,Low,False,Maths,1,68,89.69,Steady progress. Completes all assigned work.
CH-L2020011,4,Low,False,Maths,2,67,95.69,Completes all assigned work.
CH-L2020011,4,Low,False,Maths,3,73,95.69,Steady progress.
CH-L2020011,4,Low,False,Science,1,59,90.94,Steady progress. Benefits from one-on-one attention.
CH-L2020011,4,Low,False,Science,2,66,90.7,Quiet but consistent.
CH-L2020011,4,Low,False,Science,3,61,89.24,Steady progress. Steady progress.
CH-L2020011,4,Low,False,Life Skills,1,52,89.37,Completes all assigned work.
CH-L2020011,4,Low,False,Life Skills,2,55,88.0,Completes all assigned work.
CH-L2020011,4,Low,False,Life Skills,3,55,89.32,Benefits from one-on-one attention.
CH-L2020011,4,Low,False,Afrikaans,1,71,96.74,Quiet but consistent. Benefits from one-on-one attention.
CH-L2020011,4,Low,False,Afrikaans,2,61,90.41,Steady progress.
CH-L2020011,4,Low,False,Afrikaans,3,71,99.36,Quiet but consistent. Needs encouragement to participate.
CH-L2020012,6,Medium,True,English,1,83,87.55,Benefits from one-on-one attention.
CH-L2020012,6,Medium,True,English,2,74,92.15,Benefits from one-on-one attention.
CH-L2020012,6,Medium,True,English,3,84,85.93,Quiet but consistent.
CH-L2020012,6,Medium,True,Maths,1,76,92.66,Quiet but consistent. Benefits from one-on-one attention.
CH-L2020012,6,Medium,True,Maths,2,84,80.71,Attendance is a concern.
CH-L2020012,6,Medium,True,Maths,3,86,83.54,Often submits work late.
CH-L2020012,6,Medium,True,Science,1,75,85.22,Quiet but consistent.
CH-L2020012,6,Medium,True,Science,2,71,87.56,Steady progress. Steady progress.
CH-L2020012,6,Medium,True,Science,3,83,80.94,Attendance is a concern. Benefits from one-on-one attention.
CH-L2020012,6,Medium,True,Life Skills,1,77,91.14,Quiet but consistent. Benefits from one-on-one attention.
CH-L2020012,6,Medium,True,Life Skills,2,67,77.83,Often submits work late. Needs encouragement to participate.
CH-L2020012,6,Medium,True,Life Skills,3,76,82.13,Struggles with core concepts.
CH-L2020012,6,Medium,True,Afrikaans,1,74,86.9,Steady progress. Needs encouragement to participate.
CH-L2020012,6,Medium,True,Afrikaans,2,74,87.26,Steady progress.
CH-L2020012,6,Medium,True,Afrikaans,3,76,86.77,Benefits from one-on-one attention.
CH-L2021013,4,High,False,English,1,68,100.0,Steady progress. Easily distracted.
CH-L2021013,4,High,False,English,2,67,92.61,Steady progress.
CH-L2021013,4,High,False,English,3,59,85.37,Benefits from one-on-one attention. Benefits from one-on-one attention.
CH-L2021013,4,High,False,Maths,1,68,90.11,Quiet but consistent.
CH-L2021013,4,High,False,Maths,2,69,89.98,Completes all assigned work.
CH-L2021013,4,High,False,Maths,3,63,86.61,Quiet but consistent.
CH-L2021013,4,High,False,Science,1,69,88.11,Quiet but consistent. Often submits work late.
CH-L2021013,4,High,False,Science,2,70,100.0,Quiet but consistent.
CH-L2021013,4,High,False,Science,3,77,95.14,Steady progress.
CH-L2021013,4,High,False,Life Skills,1,69,92.69,Steady progress.
CH-L2021013,4,High,False,Life Skills,2,71,93.1,Benefits from one-on-one attention.
CH-L2021013,4,High,False,Life Skills,3,75,99.52,Benefits from one-on-one attention. Often submits work late.
CH-L2021013,4,High,False,Afrikaans,1,65,91.61,Quiet but consistent.
CH-L2021013,4,High,False,Afrikaans,2,61,93.34,Completes all assigned work.
CH-L2021013,4,High,False,Afrikaans,3,67,88.18,Quiet but consistent. Easily distracted.
CH-L2019014,6,Low,False,English,1,69,87.61,Quiet but consistent. Completes all assigned work.
CH-L2019014,6,Low,False,English,2,55,88.96,Steady progress. Often submits work late.
CH-L2019014,6,Low,False,English,3,70,100.0,Completes all assigned work.
CH-L2019014,6,Low,False,Maths,1,66,93.95,Benefits from one-on-one attention.
CH-L2019014,6,Low,False,Maths,2,60,93.77,Completes all assigned work.
CH-L2019014,6,Low,False,Maths,3,74,89.62,Steady progress. Needs encouragement to participate.
CH-L2019014,6,Low,False,Science,1,72,91.94,Benefits from one-on-one attention. Benefits from one-on-one attention.
CH-L2019014,6,Low,False,Science,2,67,98.24,Completes all assigned work. Needs encouragement to participate.
CH-L2019014,6,Low,False,Science,3,72,93.14,Benefits from one-on-one attention.
CH-L2019014,6,Low,False,Life Skills,1,64,99.3,Steady progress. Easily distracted.
CH-L2019014,6,Low,False,Life Skills,2,71,89.74,Quiet but consistent. Completes all assigned work.
CH-L2019014,6,Low,False,Life Skills,3,66,98.9,Completes all assigned work.
CH-L2019014,6,Low,False,Afrikaans,1,67,93.95,Completes all assigned work.
CH-L2019014,6,Low,False,Afrikaans,2,64,85.86,Steady progress.
CH-L2019014,6,Low,False,Afrikaans,3,64,91.6,Benefits from one-on-one attention. Completes all assigned work.
CH-L2019015,4,Medium,False,English,1,63,95.92,Quiet but consistent.
CH-L2019015,4,Medium,False,English,2,55,88.01,Quiet but consistent. Struggles with core concepts.
CH-L2019015,4,Medium,False,English,3,62,98.56,Completes all assigned work. Benefits from one-on-one attention.
CH-L2019015,4,Medium,False,Maths,1,60,88.58,Steady progress.
CH-L2019015,4,Medium,False,Maths,2,69,89.04,Steady progress.
CH-L2019015,4,Medium,False,Maths,3,61,89.44,Completes all assigned work.
CH-L2019015,4,Medium,False,Science,1,53,93.95,Steady progress.
CH-L2019015,4,Medium,False,Science,2,64,88.13,Steady progress.
CH-L2019015,4,Medium,False,Science,3,66,82.5,Attendance is a concern.
CH-L2019015,4,Medium,False,Life Skills,1,69,85.93,Benefits from one-on-one attention.
CH-L2019015,4,Medium,False,Life Skills,2,69,93.09,Steady progress.
CH-L2019015,4,Medium,False,Life Skills,3,63,99.8,Benefits from one-on-one attention.
CH-L2019015,4,Medium,False,Afrikaans,1,75,100.0,Completes all assigned work.
CH-L2019015,4,Medium,False,Afrikaans,2,68,94.02,Benefits from one-on-one attention.
CH-L2019015,4,Medium,False,Afrikaans,3,73,89.89,Steady progress.
CH-L2021016,6,Medium,True,English,1,50,87.91,Quiet but consistent. Easily distracted.
CH-L2021016,6,Medium,True,English,2,55,99.15,Steady progress.
CH-L2021016,6,Medium,True,English,3,53,76.88,Struggles with core concepts.
CH-L2021016,6,Medium,True,Maths,1,60,82.42,Needs encouragement to participate.
CH-L2021016,6,Medium,True,Maths,2,58,90.05,Benefits from one-on-one attention.
CH-L2021016,6,Medium,True,Maths,3,63,82.3,Easily distracted.
CH-L2021016,6,Medium,True,Science,1,55,93.77,Benefits from one-on-one attention.
CH-L2021016,6,Medium,True,Science,2,51,85.83,Steady progress. Steady progress.
CH-L2021016,6,Medium,True,Science,3,52,86.96,Quiet but consistent. Struggles with core concepts.
CH-L2021016,6,Medium,True,Life Skills,1,64,91.55,Completes all assigned work.
CH-L2021016,6,Medium,True,Life Skills,2,70,93.86,Steady progress.
CH-L2021016,6,Medium,True,Life Skills,3,82,90.57,Benefits from one-on-one attention.
CH-L2021016,6,Medium,True,Afrikaans,1,64,83.1,Easily distracted.
CH-L2021016,6,Medium,True,Afrikaans,2,64,88.27,Benefits from one-on-one attention. Steady progress.
CH-L2021016,6,Medium,True,Afrikaans,3,58,85.02,Quiet but consistent.
CH-L2018017,5,Medium,False,English,1,80,92.75,Completes all assigned work. Completes all assigned work.
CH-L2018017,5,Medium,False,English,2,80,85.58,Steady progress.
CH-L2018017,5,Medium,False,English,3,79,95.21,Benefits from one-on-one attention.
CH-L2018017,5,Medium,False,Maths,1,75,98.15,Benefits from one-on-one attention.
CH-L2018017,5,Medium,False,Maths,2,87,90.32,Shows strong improvement.
CH-L2018017,5,Medium,False,Maths,3,81,97.35,Quiet but consistent. Attendance is a concern.
CH-L2018017,5,Medium,False,Science,1,74,85.98,Completes all assigned work.
CH-L2018017,5,Medium,False,Science,2,79,96.36,Steady progress.
CH-L2018017,5,Medium,False,Science,3,79,87.69,Quiet but consistent. Needs encouragement to participate.
CH-L2018017,5,Medium,False,Life Skills,1,73,89.21,Completes all assigned work. Steady progress.
CH-L2018017,5,Medium,False,Life Skills,2,74,86.6,Benefits from one-on-one attention. Attendance is a concern.
CH-L2018017,5,Medium,False,Life Skills,3,79,91.28,Completes all assigned work. Often submits work late.
CH-L2018017,5,Medium,False,Afrikaans,1,75,86.6,Steady progress.
CH-L2018017,5,Medium,False,Afrikaans,2,74,94.23,Completes all assigned work.
CH-L2018017,5,Medium,False,Afrikaans,3,78,91.47,Benefits from one-on-one attention.
CH-L2018018,5,Medium,False,English,1,74,89.38,Quiet but consistent.
CH-L2018018,5,Medium,False,English,2,78,96.18,Completes all assigned work. Needs encouragement to participate.
CH-L2018018,5,Medium,False,English,3,67,95.49,Steady progress.
CH-L2018018,5,Medium,False,Maths,1,75,94.81,Steady progress.
CH-L2018018,5,Medium,False,Maths,2,57,92.06,Quiet but consistent. Attendance is a concern.
CH-L2018018,5,Medium,False,Maths,3,65,94.81,Steady progress.
CH-L2018018,5,Medium,False,Science,1,66,90.73,Completes all assigned work.
CH-L2018018,5,Medium,False,Science,2,67,82.86,Struggles with core concepts.
CH-L2018018,5,Medium,False,Science,3,71,94.83,Benefits from one-on-one attention.
CH-L2018018,5,Medium,False,Life Skills,1,83,93.46,Quiet but consistent. Easily distracted.
CH-L2018018,5,Medium,False,Life Skills,2,79,89.85,Quiet but consistent. Needs encouragement to participate.
CH-L2018018,5,Medium,False,Life Skills,3,71,90.54,Completes all assigned work.
CH-L2018018,5,Medium,False,Afrikaans,1,66,100.0,Quiet but consistent.
CH-L2018018,5,Medium,False,Afrikaans,2,68,86.8,Quiet but consistent.
CH-L2018018,5,Medium,False,Afrikaans,3,72,85.28,Benefits from one-on-one attention.
CH-L2021019,4,Low,False,English,1,65,100.0,Steady progress.
CH-L2021019,4,Low,False,English,2,75,91.67,Completes all assigned work.
CH-L2021019,4,Low,False,English,3,61,96.29,Steady progress. Attendance is a concern.
CH-L2021019,4,Low,False,Maths,1,58,87.65,Quiet but consistent.
CH-L2021019,4,Low,False,Maths,2,60,97.41,Steady progress.
CH-L2021019,4,Low,False,Maths,3,51,93.46,Completes all assigned work.
CH-L2021019,4,Low,False,Science,1,71,94.14,Quiet but consistent. Steady progress.
CH-L2021019,4,Low,False,Science,2,74,79.93,Needs encouragement to participate.
CH-L2021019,4,Low,False,Science,3,66,90.56,Quiet but consistent.
CH-L2021019,4,Low,False,Life Skills,1,63,86.33,Completes all assigned work.
CH-L2021019,4,Low,False,Life Skills,2,66,95.41,Steady progress.
CH-L2021019,4,Low,False,Life Skills,3,67,86.89,Quiet but consistent. Needs encouragement to participate.
CH-L2021019,4,Low,False,Afrikaans,1,57,80.7,Attendance is a concern.
CH-L2021019,4,Low,False,Afrikaans,2,67,95.77,Quiet but consistent. Easily distracted.
CH-L2021019,4,Low,False,Afrikaans,3,60,85.13,Benefits from one-on-one attention. Needs encouragement to participate.
CH-L2019020,7,Medium,True,English,1,63,89.89,Completes all assigned work.
CH-L2019020,7,Medium,True,English,2,62,86.49,Quiet but consistent.
CH-L2019020,7,Medium,True,English,3,59,88.39,Steady progress.
CH-L2019020,7,Medium,True,Maths,1,64,82.09,Struggles with core concepts.
CH-L2019020,7,Medium,True,Maths,2,76,87.52,Steady progress.
CH-L2019020,7,Medium,True,Maths,3,74,80.91,Struggles with core concepts.
CH-L2019020,7,Medium,True,Science,1,72,88.34,Quiet but consistent.
CH-L2019020,7,Medium,True,Science,2,76,88.41,Steady progress. Needs encouragement to participate.
CH-L2019020,7,Medium,True,Science,3,70,96.81,Steady progress.
CH-L2019020,7,Medium,True,Life Skills,1,67,87.29,Steady progress. Struggles with core concepts.
CH-L2019020,7,Medium,True,Life Skills,2,71,90.86,Benefits from one-on-one attention.
CH-L2019020,7,Medium,True,Life Skills,3,66,82.16,Often submits work late.
CH-L2019020,7,Medium,True,Afrikaans,1,65,79.46,Often submits work late. Often submits work late.
CH-L2019020,7,Medium,True,Afrikaans,2,68,94.49,Quiet but consistent.
CH-L2019020,7,Medium,True,Afrikaans,3,69,91.18,Completes all assigned work.
CH-L2019021,5,Medium,False,English,1,88,96.48,A pleasure to teach. Completes all assigned work.
CH-L2019021,5,Medium,False,English,2,86,94.74,Shows strong improvement. Completes all assigned work.
CH-L2019021,5,Medium,False,English,3,93,91.66,A pleasure to teach.
CH-L2019021,5,Medium,False,Maths,1,87,90.5,Works well with peers.
CH-L2019021,5,Medium,False,Maths,2,86,94.68,Excellent grasp of concepts.
CH-L2019021,5,Medium,False,Maths,3,88,92.15,Shows strong improvement.
CH-L2019021,5,Medium,False,Science,1,93,95.46,Excellent grasp of concepts. Needs encouragement to participate.
CH-L2019021,5,Medium,False,Science,2,94,88.46,Shows strong improvement. Attendance is a concern.
CH-L2019021,5,Medium,False,Science,3,94,93.73,Engages well in class. Struggles with core concepts.
CH-L2019021,5,Medium,False,Life Skills,1,96,95.61,Works well with peers.
CH-L2019021,5,Medium,False,Life Skills,2,98,84.78,Often submits work late.
CH-L2019021,5,Medium,False,Life Skills,3,89,95.48,Shows strong improvement.
CH-L2019021,5,Medium,False,Afrikaans,1,94,94.46,Excellent grasp of concepts.
CH-L2019021,5,Medium,False,Afrikaans,2,95,86.17,A pleasure to teach.
CH-L2019021,5,Medium,False,Afrikaans,3,98,89.31,Engages well in class.
CH-L2018022,6,Medium,False,English,1,67,97.23,Completes all assigned work.
CH-L2018022,6,Medium,False,English,2,58,99.15,Completes all assigned work.
CH-L2018022,6,Medium,False,English,3,67,95.2,Benefits from one-on-one attention.
CH-L2018022,6,Medium,False,Maths,1,71,95.9,Steady progress. Attendance is a concern.
CH-L2018022,6,Medium,False,Maths,2,66,88.47,Completes all assigned work. Struggles with core concepts.
CH-L2018022,6,Medium,False,Maths,3,76,90.77,Steady progress.
CH-L2018022,6,Medium,False,Science,1,64,88.07,Completes all assigned work. Quiet but consistent.
CH-L2018022,6,Medium,False,Science,2,61,97.4,Benefits from one-on-one attention.
CH-L2018022,6,Medium,False,Science,3,57,83.65,Struggles with core concepts.
CH-L2018022,6,Medium,False,Life Skills,1,74,98.55,Steady progress.
CH-L2018022,6,Medium,False,Life Skills,2,69,100.0,Completes all assigned work.
CH-L2018022,6,Medium,False,Life Skills,3,73,91.63,Steady progress. Steady progress.
CH-L2018022,6,Medium,False,Afrikaans,1,63,84.57,Attendance is a concern.
CH-L2018022,6,Medium,False,Afrikaans,2,57,97.62,Completes all assigned work. Easily distracted.
CH-L2018022,6,Medium,False,Afrikaans,3,65,92.68,Benefits from one-on-one attention. Attendance is a concern.
CH-L2020023,7,Low,False,English,1,34,81.47,Struggles with core concepts.
CH-L2020023,7,Low,False,English,2,35,93.6,Struggles with core concepts.
CH-L2020023,7,Low,False,English,3,41,89.94,Often submits work late.
CH-L2020023,7,Low,False,Maths,1,36,88.76,Struggles with core concepts. Needs encouragement to participate.
CH-L2020023,7,Low,False,Maths,2,30,82.03,Easily distracted.
CH-L2020023,7,Low,False,Maths,3,35,92.23,Easily distracted.
CH-L2020023,7,Low,False,Science,1,42,81.57,Easily distracted. Steady progress.
CH-L2020023,7,Low,False,Science,2,36,88.68,Attendance is a concern.
